Source,Sink,common_neighbors,AAprediction,exist_in_training_dataset,source_parents_count,source_non_leaf_descendants_count,source_leaf_descendans_count,sink_parent_non_leaf_descendants_count,sink_parent_leaf_descendans_count,sink_parents_count
1097,2300708,3,0.4463541483605057,1,21,37.0,139.0,214968,1773315,1215
1174,119149,10,1.1357978819673271,1,187,198.0,344.0,79998,3985486,124
1174,1903703,33,6.902389758264802,1,187,198.0,344.0,25516,153197,116
1174,4660902,3,0.4241617596924393,1,187,198.0,344.0,1751,6699,7
1399,306532,4,0.4413815279619331,1,41,59.0,191.0,65465,1441628,175
1399,1980832,9,1.5148627874399299,1,41,59.0,191.0,9601,390763,18
1452,998253,22,3.3065344509150485,1,141,43.0,139.0,16493,110944,90
1598,3273144,1,0.17021477287358108,1,7,15.0,25.0,185076,1563451,1253
2393,1298207,10,1.5725190654458134,1,71,132.0,80.0,105434,1815629,351
2393,4219994,103,18.416526374589782,1,71,132.0,80.0,127108,630723,903
3144,3230938,2,0.3568216862324573,1,175,37.0,38.0,279,471,5
3758,4267377,7,0.7785621414092682,1,15,21.0,101.0,326089,7888824,691
4276,1691279,101,19.987151148149586,1,68,38.0,118.0,65537,1016057,237
4293,851574,2,0.2974366853284168,1,21,32.0,94.0,4220,78605,12
5221,4231258,14,2.2822665110997407,1,1,52.0,380.0,24960,312657,144
5356,3938294,9,1.1607060235635405,1,66,82.0,122.0,47284,1775470,38
7369,1366164,28,4.570962104001907,1,75,59.0,24.0,9457,44527,24
7369,2795881,63,10.196295421152671,1,75,59.0,24.0,118713,687584,568
7414,4038743,9,1.164548123585563,1,97,41.0,57.0,16479,306945,29
7648,3301555,2,0.17136229137077974,1,83,145.0,131.0,60449,3658584,58
8525,1078544,6,0.5110140006314982,1,44,105.0,399.0,33083,3696157,34
8525,1956359,2,0.17444992599005882,1,44,105.0,399.0,9749,196326,21
8525,4422390,15,1.8394682683459576,1,44,105.0,399.0,137813,1301092,692
9182,740177,17,2.1894514965873166,1,67,27.0,126.0,82694,3055249,137
9182,2858107,22,3.924009408006209,1,67,27.0,126.0,123508,2823911,204
9182,2992026,9,1.2312254499248334,1,67,27.0,126.0,16733,1303793,24
9202,2729962,60,8.412716417241747,1,96,99.0,137.0,247672,3232064,686
9202,2869355,41,6.099801146909528,1,96,99.0,137.0,143658,1584673,781
9849,441315,2,0.17251327230443908,1,58,73.0,140.0,46923,2412856,47
10118,129367,14,2.2247382334840413,1,43,67.0,426.0,7594,192277,47
10118,3554524,22,2.6842791843193834,1,43,67.0,426.0,483098,8219395,1805
10118,4057196,6,0.8225161383857208,1,43,67.0,426.0,10941,343212,26
10335,4096612,2,1.7367091446841694,1,4,4.0,10.0,415433,7115352,2022
11259,804290,1,0.17746891550973914,1,26,62.0,119.0,359,717,4
11259,959152,5,1.0538062120814298,1,26,62.0,119.0,9112,121948,30
11382,4758259,19,3.228910233620538,1,104,44.0,80.0,4850,19960,33
11482,3401659,2,0.17959209077679475,1,10,8.0,81.0,64473,1940429,64
11556,2300708,3,0.538297822897883,1,31,55.0,82.0,214968,1773315,1215
11556,3882414,5,0.5870112393346215,1,31,55.0,82.0,59270,4140600,68
12363,3553811,14,2.7405012559451567,1,26,40.0,68.0,9201,114362,57
12363,4302032,13,2.2485249238491334,1,26,40.0,68.0,43702,837224,107
13751,2102955,3,0.3014013828629249,1,30,33.0,175.0,13471,242182,35
13751,4847618,2,0.35118024343830645,1,30,33.0,175.0,1859,11503,10
14202,1399303,81,10.61274298058918,1,213,80.0,343.0,140582,3463967,281
14202,2353955,6,0.6018840631425525,1,213,80.0,343.0,23774,581703,18
15326,3378280,86,12.528658441218598,1,259,134.0,179.0,336679,6266528,1064
15836,1898377,58,10.237731342296387,1,81,90.0,142.0,114877,2030369,389
15836,1901720,8,1.4879570460819391,1,81,90.0,142.0,1049,1493,9
15836,3007386,1,0.18769204995002464,1,81,90.0,142.0,155,277,2
15836,3508940,1,0.15139362553634042,1,81,90.0,142.0,430,1505,3
16324,3885,1,0.1581636506785181,1,15,54.0,201.0,9570,83383,71
16324,51497,5,0.7989760401018118,1,15,54.0,201.0,7609,328391,12
16324,4557116,29,4.665536327057485,1,15,54.0,201.0,72788,1481620,244
16514,2237629,5,0.7321461628088106,1,293,78.0,125.0,7312,818162,9
16514,3738881,12,1.6687103935310466,1,293,78.0,125.0,13238,50667,23
17077,2172570,4,0.4530995470134397,1,29,25.0,372.0,58772,3728466,65
17093,2268409,13,2.741714372540873,1,27,42.0,206.0,167061,3669998,262
17093,3153028,11,1.6670874060588408,1,27,42.0,206.0,13409,587202,48
18562,3105763,1,0.0954733410175004,1,9,24.0,177.0,82954,3199509,89
19045,1984683,18,2.728768571819561,1,3,46.0,121.0,48408,1812157,213
19451,2730639,8,1.2904916288835016,1,422,85.0,180.0,7678,145900,58
19451,4026190,6,0.7004752234566378,1,422,85.0,180.0,16845,69024,32
19654,1992950,25,4.448912735136785,1,31,97.0,139.0,34489,305910,129
19654,2740141,99,16.534059819180538,1,31,97.0,139.0,938760,14421564,4637
20077,2925611,4,0.5263462395037383,1,20,51.0,56.0,105514,868720,637
20274,1383115,9,1.9026877881400213,1,15,26.0,37.0,10505,140735,59
20964,216069,292,48.04323350373353,1,1555,194.0,380.0,140258,2666429,374
20964,775571,273,38.89423445811548,1,1555,194.0,380.0,168522,2524161,427
20964,1387566,23,3.678855796590333,1,1555,194.0,380.0,3082,5069,25
20964,4813076,780,113.06310431258926,1,1555,194.0,380.0,493041,4719539,2203
21868,3505101,1,0.15951262426756102,1,8,12.0,95.0,524,5160,5
22018,2164973,45,8.24727724286864,1,39,78.0,118.0,9729,49423,56
22543,868308,16,3.5366508297722365,1,12,16.0,78.0,291537,9116605,589
24331,334948,156,28.90338457045422,1,105,152.0,171.0,223844,4870364,440
24331,1908676,80,13.795705717488776,1,105,152.0,171.0,135068,2855715,381
24848,347914,4,0.5829172360011776,1,6,18.0,92.0,16410,935201,34
24848,2178285,10,2.7814534993542823,1,6,18.0,92.0,240042,6149832,358
25991,3301193,2,0.16170708844799042,1,37,129.0,401.0,14431,939742,10
25991,4848625,7,1.382797816236402,1,37,129.0,401.0,23963,160583,95
